Date,Company,AppLink/VendorName,Type,Designation
7/12/2023,Viator,https://www.linkedin.com/jobs/view/3650196909/?eBP=CwEAAAGJS5q3r-e_Nn3OFMfzSzK6oht3guHkcou23YCxCGZwAD5VOki8_VuhPafySZSHak9BzIvPGRWyFlwoEOhqkirDOzOzQFSzZv9OLr26mOK_et3FbPLppdm299pwZ5LZvi4VFqgo8QesZHyXefpd5bQXMWPeIBnDgd34dmE--BUhP3tNvVB1h4_CE8rdCw7J5CgL9n1EYhZQORwymytT7rrdUqlZhSjIkCQ7Y0V2Ag6p3Yx0SV6Vl_dENEiWXU0i8t_zDY2OJXNHkJ4wxBzVHRLlHVu5aHziUuiwNA-Pd3pTSMxL9aQ8Ug2jtir0SasvqGnJ6_c57HevX9dAt3QUZVUesTuPYbkhKTY17NA&refId=afJSyKU1N4LA1O%2Fu2tYzbw%3D%3D&trackingId=QK9fOn4eX3AS2XzgU6R%2FAg%3D%3D&trk=flagship3_jobs_discovery_jymbii,App,
7/12/2023,Stealth Startup,https://www.linkedin.com/jobs/view/3658941246/?alternateChannel=search&refId=Tm03r1qGh9TfavwnBIMLpQ%3D%3D&trackingId=vfzSQv7ZsNEqGx2wsLQL7Q%3D%3D,App,
7/12/2023,Rippling,https://www.linkedin.com/jobs/view/3656614414/?eBP=CwEAAAGJS5q3rw0hZNWG0G1FZkbbuemnrpyayQSqC4uhyaZ-Ptkhop1r_jc7FNEtHy7Z0dzr4gDRJCz-hyQURAt7T0eVnz4XC_f8s8cuRzOwexAS7nfuUVrzfvU8AK_926ONCrQ8MqbYtJCj6-l1ijDjLnSYuw2Fs8TxxG4r58gxnI5zkb9fazhD4s2mLGcN6UlYyfN2IoNSIFsnSQIhUpNFB29FWY2SbleyCBAVZyfhWvAt_BSDyHLEPVG2zAaL81GEWLOG-R703vYnDXyTptDb7u1_lhJ3lVRHVmGmhG3G5IEuVH8Bu9l-mwi93POSDHiHi2zgBT2qgCS8AGU5-b2KLPOK5a7Cy45-YV9sdyuFpw&recommendedFlavor=COMPANY_RECRUIT&refId=afJSyKU1N4LA1O%2Fu2tYzbw%3D%3D&trackingId=tekdINmnnTWNDIyfdKHYUg%3D%3D&trk=flagship3_jobs_discovery_jymbii,App,
7/13/2023,Glocomms,https://www.linkedin.com/jobs/view/3662340740/?eBP=CwEAAAGJUJTlV1Jf0ZbRo5ZFhjYeo1FJaAQ1q1MFg4f-yttFaqaY4CUW-bZG0lsM1jRim3RQva0SwCgglp_w4D_WDT0KqMmDsDKl-Ou47IJTx9NqzslqyCvUfJEzLI-0beO6OwmsdicpDIN0yE7w5KRWOD5Toxzgy4fO-lbM7iEak3UVnQrEXfFjtOJHPJgO5bPUzCh61k3ej47Zt87_sHegsU4VJx8gqE9Z0D4nqw0JSPoYUpDmhFX3Z25kW9qdIB0aSCvA4cN2lLE7x1n0XTYbVM4kdiieel3FljIXomE9dkvAAbdNfnprNvZah6gFoRyWZUv6Ry8VGkPJJDvTmNMBdh4ND0R-Kj54KhYO&recommendedFlavor=ACTIVELY_HIRING_COMPANY&refId=3c9Zh0ydlIneVpINW4U0vg%3D%3D&trackingId=HAtk4uCstcwWSaNs8TECdQ%3D%3D&trk=flagship3_jobs_discovery_jymbii,App,
7/14/2023,Jackson Wollan,Alaska Airlines via Fuel Talent,Vendor,
7/14/2023,Seat Geek,https://www.linkedin.com/jobs/view/3478383318/?eBP=CwEAAAGJVd1YG1Vj2mC22ut3j3vDcjZIvVqRr59CuIybQcgoVtjv33FHapmVVwxW5T6G4Gi9f0AZgIxkUfFI0ig-QZIcdh1p1PF58ZnfBstw8ar79LF5lvH5ReQD0AdfSF8XupD5ST8q2jfRM5KxcWquhtDUDP8AK-YFDsnz3s-6vNW6G0SKH97o6QhhiBJrBusGL7jimTvW2Nxde4JNIPVS90GnClKWnR6sYm6JEihwrbfD7mcnKsDLtEnd-GSVo1nqYaVBdcYsl36kexVNbDx0Bl7Gmmq9vbCD01tlESttQQynNIKFA1Ql5i8uhyk3DX2kq6ad2ztw9U1V2ml-jVSHY1Fnh8lgucalMndS4n-Drw&recommendedFlavor=TOP_APPLICANT&refId=F%2FR1tYxXTqSSbcXECF%2BqLA%3D%3D&trackingId=p2jZwIHd0L93PK6OqlPHcA%3D%3D&trk=flagship3_jobs_discovery_jymbii,App,
7/14/2023,MetroStar,https://www.linkedin.com/jobs/view/3661803693/?eBP=JYMBII_JOBS_HOME_ORGANIC&recommendedFlavor=COMPANY_RECRUIT&refId=afJSyKU1N4LA1O%2Fu2tYzbw%3D%3D&trackingId=SJhLcnVwEs6Fy5x%2FHkoMxg%3D%3D&trk=flagship3_jobs_discovery_jymbii,App,
7/14/2023,Pandora,https://www.linkedin.com/jobs/view/3659878736/?eBP=CwEAAAGJVd1YGmFr0oPtVp4nlYx96lKG4Uj2mRMzvyJozSBr-jMwDgiN7lF7uZo0bdrcyRfPzVmGG7vwCErlKlGCREG7F9qURum7S45NCalSr-gyOlywg2UeHNAo32eRcjvECnCDp22taedndfPxs3TkxmUCcnF5kj-J-QpfHmtihAjeUWPPwjgkuVfMofBagGSNGii1dH-gsjUdJi5bE8rwfvVVOzGsSzGm3xW4z9jwu-esZjf3_M9nNhN5zh0TzSe6xKfTDEVjQpWmofcwxA1l-6i_QmD4obeJeCuLnwXPXhMmP0VrFvD-kfKer83lwZOK_jiZNdBHMGbFt7fhNsWx2UPgBCgkqtYMl2e1Yg72Tt7N&recommendedFlavor=COMPANY_RECRUIT&refId=F%2FR1tYxXTqSSbcXECF%2BqLA%3D%3D&trackingId=fL78XxwOfeDIfglFvWpZRA%3D%3D&trk=flagship3_jobs_discovery_jymbii,App,
7/14/2023,Coinbase,https://www.linkedin.com/jobs/view/3646868673/?eBP=CwEAAAGJVe7dQJQGKed9r0MES28y-rnIvB2WAD4VRevFAF1gJa993Q78LitUSqnugtFJ4SZVWIrepIcIOchP1sQwwOeSfJySDEP_htzXXT_Cf0-k7q13XgibVZjNvmln5XeyKHcG8w-O-LOE0WwKmAefYEATRfYLCTE2bNVdgaB8P8vx6ZXT-aBTrFe2jK_ei5YzfUlQhpZ1eB8xdQPd3e3k5awpe9xSDUaeerzw2wlkIj7qJW0kRm_CmSUlSpQ_lg-J5DfOXO3AQZ2trIkME_ypgLqfbbv81U8wOLpBlc4lhsfRMKLMpdFbehGXNk33wgDdw73SkgfcwiSo1hZjavXJ54wmGDKq8or2LQYGRIV4Yw&recommendedFlavor=COMPANY_RECRUIT&refId=YybU%2Bw8pDGfwGi5PNocRcg%3D%3D&trackingId=NFLd2ZEsm7hbBcRUetBSGA%3D%3D&trk=flagship3_jobs_discovery_jymbii,App,
7/14/2023,UIPath,https://careers-uipath.icims.com/jobs/5912/senior-software-engineer/job?mode=submit_apply,App,
7/17/2023,Austin McClendon,Amazon,Vendor,
7/17/2023,Coupang,https://www.linkedin.com/jobs/view/3664035346/?alternateChannel=search&refId=W6%2Fk9bU49XJC9G%2BwbDrCKQ%3D%3D&trackingId=jT6ZU9D4Andn2%2BobfueExQ%3D%3D,App,
7/17/2023,Sam Dozeal,Lowe's Innovation Lab,Vendor,
7/19/2023,Michelle Yarbini,Vaco,Vendor,
8/1/2023,Amazon,https://account.amazon.jobs/en-US/jobs/2392740/apply?cmpid=ECPSTA700004B,App,
8/4/2023,Robinhood,https://www.linkedin.com/jobs/view/3679595068/?eBP=JOB_SEARCH_ORGANIC&refId=A3cyuiQs3aALuJrXlp9Opg%3D%3D&trackingId=0kFuXZYTHVd43psbPxl%2B0A%3D%3D&trk=flagship3_search_srp_jobs,App,
9/22/2023,ibm,https://www.linkedin.com/jobs/view/3709710918/?eBP=CwEAAAGKuNtloh6MrvdgLST_yS289QuamFNo8v58RiXeVWONGIewTFuJs5vxmMvv1KYBhI8iTga3CZJORKecO7GdRXzuG0azt-9F_DxMOV9oWLQ3_W3YHKuwjeJscIBs23g63LFwVO4mPAdiQZhO9GWo_jGgHOc_D_WlcuOMv9ty2d3rC1nCHFBd8a-yT3fsCDvyBgF4vt9xhHocBPDlwWD_s89ZMuhP4A4oaT3kjnswAgbPALIw3mdXyrYGxEjDT47lEf-Hd3MlO76qyN6LKbpXGllFQ14aKCzrIxYVmlM2fGrbUwESCsfBDK1U0pgizgXYIPryOBp0_0oDoXW8C_clFgYswo010iLXzJw2Vo4&refId=rzMNFbsOhABKUQ9akb2IXw%3D%3D&trackingId=p25qbjrcgAhSWx5WUCx5dQ%3D%3D&trk=flagship3_jobs_discovery_jymbii,App,
9/22/2023,salesforce,https://www.linkedin.com/jobs/view/3719690800/?eBP=CwEAAAGKuNtlok2209jj9178Hi2cFzedcHi0WSf198GyEBM8m7K7R9gLFvTfCE4NqipG-5jtJdjG8IDe8BNFWj6eb3A7TCDo52NiLo5P435mtWI1yiEbhC_KPlek8OYlFonQpiwY1qs7hSWn-GMtswAOBtxFn2K9op-zzLkfwYUZSoO1ZLoSm0eIEab4nxACIEUWluOwZqFODL_UkHtfHr9URJIPFEPS-OM278FNFE7YT0qZdz74EQu5mAa7T332fp4J7q5h2DXzsX3udQiiLGNgvhN45I4Ynb9cE3LxYCLsbvJ3tV_Bt8VeNorVPZhB8wTQRImaGLanp4ud9Q6kDgF5wClOMYiz3KZHVnqi-oM&refId=rzMNFbsOhABKUQ9akb2IXw%3D%3D&trackingId=SxDGC9Q1%2B13NYPDLpETpdw%3D%3D&trk=flagship3_jobs_discovery_jymbii,App,
10/4/2023,Apptio,https://careers-apptio.icims.com/jobs/2188/principal-software-development-engineer/job?mode=submit_apply,App,
10/4/2023,The Trade Desk,https://www.linkedin.com/jobs/view/3688977369/?eBP=CwEAAAGK_ErVgA14_RhxhIctFPljBxJY4CUfGcAFmqUNSmURTxlFUhjMt73n-CngXd-GGPn7xAJi-cWEETyAJsqNkL7rcib6ReBHvHd3hc_bvzRIZREG04p5n0UN3EqWQ57n1jfpGUcVZakK-IS1Zp5X7H1YAI6CYvBSKfQelD8W5ARuthg2W7nUBKfS7FuM3AcTUw4H134t54AMULA8knKXewllap9oqM9Om3JY1vMYFBzpbWZZYIhoUyJwMg-tUmaQ43QkdXpf3IfAX-h15JyotFMygI0jBr507qZ9uPaCUuGDoLqdN07Yh8pOtW8pJtOOC8uOp5UWTYSIVeqpU0-Td2EjQFCaSAPfdFmO&refId=1E0RzPOLdniCH9G5s2j0Aw%3D%3D&trackingId=NTxHkKH4HLnvZDQJfpZ6dQ%3D%3D,App,
10/4/2023,Docusign,https://uscareers-docusign.icims.com/jobs/23163/lead-software-engineer---workflow/job?mode=submit_apply,App,
10/4/2023,Rippling,https://www.linkedin.com/jobs/view/3678253207/?eBP=CwEAAAGK_ErVgET8FnpG5Oe74V2tngktvSF_ZrzIS4MbCuaRMhVkelU_svZvCET-Kdb8GR8yJrbVb4_v4l22QMXUupEwuMg6XJYzzXa5fpB2NIgbSFE5I1-Fr_5YNLRp7bZWESHk6qz5IrLvdCqKN7hVv26amEpr8OWLtOoRmyTa7lUX602DZn4KITmdjQj1L6RzlWRsRBjEb6SiSEDee_95NJgIsFbePXdMg1m-PygX-7iVkFoSdIMli2anT8JN3G7auvOjyaD6oNWnT78WJxz_j9vkaR86DJpLlVZaBkx-ZcFgo53jb5_GcPWV-7x2eXfmw7uwXQwb4L7T64Iti3_2cwsqjO9m0EF-qO6_&refId=1E0RzPOLdniCH9G5s2j0Aw%3D%3D&trackingId=pY5xnkYYSSNR8e1kU7Br9w%3D%3D,App,
10/9/2023,Disney,https://disney.wd5.myworkdayjobs.com/en-US/disneycareer/job/Lead-Software-Engineer_10057295-2,App,
10/9/2023,Salesforce,-,App,
